"","GICS_INDUSTRY_GROUP","GICS_INDUSTRY_GROUP_NAME","LONG_COMPANY_NAME_REALTIME","NAME_RT"
"EA UW Equity",4510,"Software & Services","Electronic Arts Inc","ELECTRONIC ARTS INC"
"EBAY UW Equity",4510,"Software & Services","eBay Inc","EBAY INC"
"DIS UN Equity",2540,"Media","Walt Disney Co/The","WALT DISNEY CO/THE"
"DISCA UW Equity",2540,"Media","Discovery Communications Inc","DISCOVERY COMMUNICATIONS-A"
"DOW UN Equity",1510,"Materials","Dow Chemical Co/The","DOW CHEMICAL CO/THE"
"DISCK UW Equity",2540,"Media","Discovery Communications Inc","DISCOVERY COMMUNICATIONS-C"
"DLPH UN Equity",2510,"Automobiles & Components","Delphi Automotive PLC","DELPHI AUTOMOTIVE PLC"
"DPS UN Equity",3020,"Food Beverage & Tobacco","Dr Pepper Snapple Group Inc","DR PEPPER SNAPPLE GROUP INC"
"DE UN Equity",2010,"Capital Goods","Deere & Co","DEERE & CO"
"DFS UN Equity",4020,"Diversified Financials","Discover Financial Services","DISCOVER FINANCIAL SERVICES"
"DG UN Equity",2550,"Retailing","Dollar General Corp","DOLLAR GENERAL CORP"
"DLTR UW Equity",2550,"Retailing","Dollar Tree Inc","DOLLAR TREE INC"
"ECL UN Equity",1510,"Materials","Ecolab Inc","ECOLAB INC"
"DRI UN Equity",2530,"Consumer Services","Darden Restaurants Inc","DARDEN RESTAURANTS INC"
"EL UN Equity",3030,"Household & Personal Products","Estee Lauder Cos Inc/The","ESTEE LAUDER COMPANIES-CL A"
"EQT UN Equity",1010,"Energy","EQT Corp","EQT CORP"
"ED UN Equity",5510,"Utilities","Consolidated Edison Inc","CONSOLIDATED EDISON INC"
"DTE UN Equity",5510,"Utilities","DTE Energy Co","DTE ENERGY COMPANY"
"EMC UN Equity",4520,"Technology Hardware & Equipmen","EMC Corp/MA","EMC CORP/MA"
"EMN UN Equity",1510,"Materials","Eastman Chemical Co","EASTMAN CHEMICAL CO"
"ES UN Equity",5510,"Utilities","Eversource Energy","EVERSOURCE ENERGY"
"DUK UN Equity",5510,"Utilities","Duke Energy Corp","DUKE ENERGY CORP"
"EFX UN Equity",2020,"Commercial & Professional Serv","Equifax Inc","EQUIFAX INC"
"ESRX UW Equity",3510,"Health Care Equipment & Servic","Express Scripts Holding Co","EXPRESS SCRIPTS HOLDING CO"
"EMR UN Equity",2010,"Capital Goods","Emerson Electric Co","EMERSON ELECTRIC CO"
"ENDP UW Equity",3520,"Pharmaceuticals, Biotechnology","Endo International PLC","ENDO INTERNATIONAL PLC"
"EXC UN Equity",5510,"Utilities","Exelon Corp","EXELON CORP"
"EIX UN Equity",5510,"Utilities","Edison International","EDISON INTERNATIONAL"
"ESS UN Equity",4040,"Real Estate","Essex Property Trust Inc","ESSEX PROPERTY TRUST INC"
"ETFC UW Equity",4020,"Diversified Financials","E*TRADE Financial Corp","E*TRADE FINANCIAL CORP"
"EOG UN Equity",1010,"Energy","EOG Resources Inc","EOG RESOURCES INC"
"EQIX UW Equity",4040,"Real Estate","Equinix Inc","EQUINIX INC"
"EXPD UW Equity",2030,"Transportation","Expeditors International of Washington Inc","EXPEDITORS INTL WASH INC"
"FDX UN Equity",2030,"Transportation","FedEx Corp","FEDEX CORP"
"EXPE UW Equity",2550,"Retailing","Expedia Inc","EXPEDIA INC"
"EXR UN Equity",4040,"Real Estate","Extra Space Storage Inc","EXTRA SPACE STORAGE INC"
"FE UN Equity",5510,"Utilities","FirstEnergy Corp","FIRSTENERGY CORP"
"ETN UN Equity",2010,"Capital Goods","Eaton Corp PLC","EATON CORP PLC"
"EQR UN Equity",4040,"Real Estate","Equity Residential","EQUITY RESIDENTIAL"
"FFIV UW Equity",4520,"Technology Hardware & Equipmen","F5 Networks Inc","F5 NETWORKS INC"
"FLR UN Equity",2010,"Capital Goods","Fluor Corp","FLUOR CORP"
